giorno,mese,anno,stagione,animale,Altacq,quadr,dist,bosco,tmina,tmaxa,tmeda,tminr,tmaxr,tmediar,deltmin,deltmac,deltmed,altcmin,altcmax,altcmed,delqmed,delqmax,delqmin,oreluce,activore
11,1,2009,1,5988,950,87,3,3,-2.6,4.2,0.8,10,24,14.5,12.6,19.8,13.7,1,1,1,3,3,3,9.10,
12,1,2009,1,5988,950,87,3,3,-0.9,5.2,2.2,9,27,15.7,9.9,21.8,13.5,1,1,1,3,3,3,9.11,
13,1,2009,1,5988,950,96,3,2,-0.9,1.7,0.4,10,16,13.4,10.9,14.3,13.0,1,1,1,3,3,3,9.13,
14,1,2009,1,5988,950,87,3,3,-0.9,0.1,-0.4,8,16,11.8,8.9,15.9,12.2,1,1,1,3,3,3,9.14,
15,1,2009,1,5988,950,87,3,3,-0.7,1.6,0.5,12,19,13.8,12.7,17.4,13.3,1,1,1,3,3,3,9.17,
16,1,2009,1,5988,950,96,3,2,-0.6,5.9,2.7,7,23,13.1,7.6,17.1,10.4,1,1,1,3,3,3,9.18,
17,1,2009,1,5988,950,86,2,3,0.9,3.2,2.1,5,18,12.1,4.1,14.8,10.0,2,2,2,2,2,2,9.20,
18,1,2009,1,5988,950,87,3,3,2.8,4.3,3.6,12,20,14.0,9.2,15.7,10.4,1,1,1,3,3,3,9.21,
19,1,2009,1,5988,950,96,3,2,4.1,5.5,4.8,13,17,14.7,8.9,11.5,9.9,1,1,1,3,3,3,9.24,
20,1,2009,1,5988,950,96,3,3,5.1,6.3,5.7,13,16,14.6,7.9,9.7,8.9,1,1,1,3,3,3,9.26,
21,1,2009,1,5988,950,87,3,2,2.4,5.8,4.1,13,19,15.8,10.6,13.2,11.7,1,1,1,3,3,3,9.27,
22,1,2009,1,5988,950,96,3,2,-0.8,4.6,1.9,9,18,12.3,9.8,13.4,10.4,1,1,1,3,3,3,9.30,
23,1,2009,1,5988,950,87,3,3,-0.9,3.8,1.5,6,17,11.0,6.9,13.2,9.5,1,1,1,3,3,3,9.32,
24,1,2009,1,5988,950,87,3,3,-2.2,3.9,0.9,9,15,11.8,11.2,11.1,10.9,1,1,1,3,3,3,9.34,
25,1,2009,1,5988,950,87,3,3,-2.1,1.7,-0.2,10,19,14.1,12.1,17.3,14.3,1,1,1,3,3,3,9.37,
26,1,2009,1,5988,950,87,3,3,-0.8,2.9,1.1,9,18,13.0,9.8,15.1,11.9,1,1,1,3,3,3,9.39,
27,1,2009,1,5988,950,96,3,2,-0.9,0.4,-0.3,10,22,14.3,10.9,21.6,14.6,1,1,1,3,3,3,9.41,
28,1,2009,1,5988,950,87,3,2,-0.9,1.5,0.3,10,22,14.0,10.9,20.5,13.7,1,1,1,3,3,3,9.43,
29,1,2009,1,5988,950,86,2,3,-2.1,4.1,1,8,25,14.6,10.1,20.9,13.6,1,1,1,3,3,3,9.45,
30,1,2009,1,5988,950,86,2,2,-1.2,3.9,1.4,9,24,14.3,10.2,20.1,12.9,1,1,1,3,3,3,9.48,
31,1,2009,1,5988,950,86,2,3,-2.9,4.2,0.7,7,24,12.9,9.9,19.8,12.2,1,2,1,3,2,3,9.51,
1,2,2009,1,5988,950,96,3,2,-3.2,-0.9,-2.1,9,14,11.5,12.2,14.9,13.6,1,1,1,3,3,3,9.53,
2,2,2009,1,5988,950,96,3,2,-3.2,4,0.4,10,16,13.0,13.2,12.0,12.6,1,1,1,3,3,3,9.56,
3,2,2009,1,5988,950,87,3,3,-0.3,4.8,2.3,12,21,15.3,12.3,16.2,13.0,1,1,1,3,3,3,9.58,
4,2,2009,1,5988,950,87,3,3,0.3,5.4,2.9,10,20,14.3,9.7,14.6,11.4,1,1,1,3,3,3,10.00,
5,2,2009,1,5988,950,96,3,2,2.7,6.3,4.5,13,25,17.6,10.3,18.7,13.1,1,1,1,3,3,3,10.03,
6,2,2009,1,5988,950,87,3,3,3.9,5.4,4.7,14,19,16.8,10.1,13.6,12.1,1,1,1,3,3,3,10.06,
7,2,2009,1,5988,950,96,3,2,1.4,5,3.2,13,23,17.1,11.6,18.0,13.9,1,1,1,3,3,3,10.09,
8,2,2009,1,5988,950,96,3,3,-0.4,2.6,1.1,12,22,14.7,12.4,19.4,13.6,1,1,1,3,3,3,10.11,
9,2,2009,1,5988,950,86,2,3,0,6.5,3.3,10,25,16.2,10.0,18.5,12.9,1,1,1,3,3,3,10.14,
10,2,2009,1,5988,950,96,3,2,1.5,4.7,3.1,13,19,15.8,11.5,14.3,12.7,1,1,1,3,3,3,10.17,
11,2,2009,1,5988,950,96,3,2,-1.6,3.9,1.2,9,21,14.6,10.6,17.1,13.4,1,1,1,3,3,3,10.19,
12,2,2009,1,5988,950,97,3,2,-3.9,3.3,-0.3,6,18,12.0,9.9,14.7,12.3,1,1,1,3,3,3,10.22,
13,2,2009,1,5988,950,96,3,2,-5,1.5,-1.8,8,25,13.4,13.0,23.5,15.2,1,1,1,3,3,3,10.25,
14,2,2009,1,5988,950,96,3,2,-5.7,2.2,-1.8,5,25,12.4,10.7,22.8,14.2,1,1,1,3,3,3,10.27,
15,2,2009,1,5988,950,96,3,2,-5,2.8,-1.1,6,30,13.4,11.0,27.2,14.5,1,1,1,3,3,3,10.31,
16,2,2009,1,5988,950,87,3,3,-4.5,1.9,-1.3,7,21,12.8,11.5,19.1,14.1,1,1,1,3,3,3,10.33,
17,2,2009,1,5988,950,96,3,2,-2.6,2.1,-0.3,9,17,13.7,11.6,14.9,14.0,1,1,1,3,3,3,10.36,
18,2,2009,1,5988,950,96,3,2,-6.7,2.1,-2.3,7,22,13.5,13.7,19.9,15.8,1,1,1,3,3,3,10.39,
19,2,2009,1,5988,950,96,3,2,-7.4,1.7,-2.9,7,32,14.1,14.4,30.3,17.0,1,1,1,3,3,3,10.42,
20,2,2009,1,5988,950,87,3,2,-5.6,5.5,0,3,25,13.0,8.6,19.5,13.0,1,1,1,3,3,3,10.45,
21,2,2009,1,5988,950,96,3,2,-0.7,6.9,3.1,8,29,15.9,8.7,22.1,12.8,1,1,1,3,3,3,10.48,
22,2,2009,1,5988,950,96,3,1,0.9,7.9,4.4,6,28,15.0,5.1,20.1,10.6,1,1,1,3,3,3,10.51,
23,2,2009,1,5988,950,96,3,1,-1.5,5.2,1.9,10,30,16.4,11.5,24.8,14.5,1,1,1,3,3,3,10.53,
24,2,2009,1,5988,950,96,3,2,-2.7,7.6,2.5,10,30,16.1,12.7,22.4,13.6,1,1,1,3,3,3,10.57,
25,2,2009,1,5988,950,97,3,3,-2.7,4.2,0.8,9,22,14.2,11.7,17.8,13.4,1,1,1,3,3,3,10.59,
26,2,2009,1,5988,950,96,3,1,-0.9,7.3,3.2,7,26,15.1,7.9,18.7,11.9,1,1,1,3,3,3,11.02,
27,2,2009,1,5988,950,96,3,2,2.4,7.8,5.1,8,26,17.4,5.6,18.2,12.3,1,1,1,3,3,3,11.06,
28,2,2009,1,5988,950,96,3,2,3.9,9.3,6.6,12,35,19.5,8.1,25.7,12.9,1,1,1,3,3,3,11.08,
1,3,2009,2,5988,950,96,3,2,3.8,5.1,4.5,14,21,16.4,10.2,15.9,11.9,1,1,1,3,3,3,11.11,
2,3,2009,2,5988,950,96,3,2,3.5,5.1,4.3,14,22,17.6,10.5,16.9,13.3,1,1,1,3,3,3,11.15,
3,3,2009,2,5988,950,96,3,1,2.7,5.7,4.2,15,22,17.8,12.3,16.3,13.6,1,1,1,3,3,3,11.18,
4,3,2009,2,5988,950,96,3,1,2.8,6.4,4.6,14,18,16.1,11.2,11.6,11.5,1,1,1,3,3,3,11.20,
5,3,2009,2,5988,950,96,3,1,0.3,5.3,2.8,13,19,15.6,12.7,13.7,12.8,1,1,1,3,3,3,11.23,
6,3,2009,2,5988,950,96,3,2,-0.6,6.4,2.9,10,30,18.0,10.6,23.6,15.1,1,2,1,3,2,3,11.27,
7,3,2009,2,5988,950,96,3,1,-0.6,10,4.7,12,31,18.5,12.6,21.0,13.8,1,1,1,3,3,3,11.29,
8,3,2009,2,5988,950,96,3,1,3.5,11.6,7.6,10,34,18.7,6.5,22.4,11.1,1,1,1,3,3,3,11.32,
9,3,2009,2,5988,950,96,3,1,1.9,11.6,6.8,11,32,19.3,9.1,20.4,12.5,1,1,1,3,3,3,11.36,
10,3,2009,2,5988,950,96,3,2,1.5,8.4,5,9,26,16.9,7.5,17.6,11.9,1,1,1,3,3,3,11.39,
11,3,2009,2,5988,950,96,3,1,1.3,12.7,7,12,39,19.7,10.7,26.3,12.7,1,1,1,3,3,3,11.42,
12,3,2009,2,5988,950,96,3,2,-0.2,9.9,4.9,10,38,19.5,10.2,28.1,14.6,1,1,1,3,3,3,11.44,
13,3,2009,2,5988,950,96,3,1,2.6,8.1,5.4,11,26,17.4,8.4,17.9,12.0,1,1,1,3,3,3,11.48,
14,3,2009,2,5988,950,96,3,1,3.9,11.7,7.8,11,36,19.9,7.1,24.3,12.1,1,1,1,3,3,3,11.51,
15,3,2009,2,5988,950,96,3,1,4,11.4,7.7,14,34,21.5,10.0,22.6,13.8,1,1,1,3,3,3,11.54,
16,3,2009,2,5988,950,97,3,2,3.3,11.1,7.2,14,28,19.0,10.7,16.9,11.8,1,1,1,3,3,3,11.57,
17,3,2009,2,5988,950,96,3,1,2.3,13.5,7.9,13,41,21.9,10.7,27.5,14.0,1,1,1,3,3,3,12.00,
18,3,2009,2,5988,950,96,3,1,5.4,15.2,10.3,11,32,19.4,5.6,16.8,9.1,1,1,1,3,3,3,12.03,
19,3,2009,2,5988,950,96,3,2,0.5,10.5,5.5,14,29,20.0,13.5,18.5,14.5,1,1,1,3,3,3,12.06,
